SN    USVID    CurTime    simTime    AVOID_Dis    OBS_X    OBS_Y    OBS_R     OBS_V      OBS_Yaw   
211  208  2025-06-05 20-36-20  14452.8  2071.85  140432  0  1872  0  0
212  208  2025-06-05 20-36-20  14454.4  2072.32  140432  0  1872  0  0
213  208  2025-06-05 20-36-20  14456  2073.05  140432  0  1872  0  0
214  208  2025-06-05 20-36-20  14457.6  2074.04  140432  0  1872  0  0
215  208  2025-06-05 20-36-20  14459.2  2075.27  140432  0  1872  0  0
216  208  2025-06-05 20-36-20  14460.8  2076.76  140432  0  1872  0  0
217  208  2025-06-05 20-36-20  14462.4  2078.5  140432  0  1872  0  0
218  208  2025-06-05 20-36-20  14464  2080.5  140432  0  1872  0  0
219  208  2025-06-05 20-36-20  14465.6  2082.73  140432  0  1872  0  0
220  208  2025-06-05 20-36-20  14467.2  2085.22  140432  0  1872  0  0
221  208  2025-06-05 20-36-20  14468.8  2087.94  140432  0  1872  0  0
222  208  2025-06-05 20-36-20  14470.4  2090.91  140432  0  1872  0  0
223  208  2025-06-05 20-36-20  14472  2094.12  140432  0  1872  0  0
224  208  2025-06-05 20-36-20  14473.6  2097.56  140432  0  1872  0  0
225  208  2025-06-05 20-36-20  14475.2  2101.23  140432  0  1872  0  0
226  208  2025-06-05 20-36-20  14476.8  2105.13  140432  0  1872  0  0
227  208  2025-06-05 20-36-20  14478.4  2109.26  140432  0  1872  0  0
228  208  2025-06-05 20-36-20  14480  2113.62  140432  0  1872  0  0
229  208  2025-06-05 20-36-20  14481.6  2118.19  140432  0  1872  0  0
230  208  2025-06-05 20-36-20  14483.2  2122.98  140432  0  1872  0  0
231  208  2025-06-05 20-36-20  14484.8  2127.98  140432  0  1872  0  0
232  208  2025-06-05 20-36-20  14486.4  2133.19  140432  0  1872  0  0
233  208  2025-06-05 20-36-20  14488  2138.6  140432  0  1872  0  0
234  208  2025-06-05 20-36-20  14489.6  2144.22  140432  0  1872  0  0
235  208  2025-06-05 20-36-20  14491.2  2150.03  140432  0  1872  0  0
236  208  2025-06-05 20-36-20  14492.8  2156.04  140432  0  1872  0  0
237  208  2025-06-05 20-36-20  14494.4  2162.24  140432  0  1872  0  0
238  208  2025-06-05 20-36-20  14496  2168.63  140432  0  1872  0  0
239  208  2025-06-05 20-36-20  14497.6  2175.19  140432  0  1872  0  0
240  208  2025-06-05 20-36-20  14499.2  2181.94  140432  0  1872  0  0
241  208  2025-06-05 20-36-20  14500.8  2188.86  140432  0  1872  0  0
242  208  2025-06-05 20-36-20  14502.4  2195.95  140432  0  1872  0  0
243  208  2025-06-05 20-36-20  14504  2203.21  140432  0  1872  0  0
244  208  2025-06-05 20-36-20  14505.6  2210.63  140432  0  1872  0  0
245  208  2025-06-05 20-36-20  14507.2  2218.21  140432  0  1872  0  0
246  208  2025-06-05 20-36-20  14508.8  2225.94  140432  0  1872  0  0
247  208  2025-06-05 20-36-20  14510.4  2233.83  140432  0  1872  0  0
248  208  2025-06-05 20-36-20  14512  2241.87  140432  0  1872  0  0
249  208  2025-06-05 20-36-20  14513.6  2250.05  140432  0  1872  0  0
250  208  2025-06-05 20-36-20  14515.2  2258.37  140432  0  1872  0  0
251  208  2025-06-05 20-36-20  14516.8  2266.83  140432  0  1872  0  0
252  208  2025-06-05 20-36-20  14518.4  2275.43  140432  0  1872  0  0
253  208  2025-06-05 20-36-20  14520  2284.15  140432  0  1872  0  0
254  208  2025-06-05 20-36-20  14521.6  2293  140432  0  1872  0  0
255  208  2025-06-05 20-36-20  14523.2  2301.98  140432  0  1872  0  0
256  208  2025-06-05 20-36-20  14524.8  2311.08  140432  0  1872  0  0
257  208  2025-06-05 20-36-20  14526.4  2320.3  140432  0  1872  0  0
258  208  2025-06-05 20-36-20  14528  2329.63  140432  0  1872  0  0
259  208  2025-06-05 20-36-20  14529.6  2339.07  140432  0  1872  0  0
260  208  2025-06-05 20-36-20  14531.2  2348.62  140432  0  1872  0  0
261  208  2025-06-05 20-36-20  14532.8  2358.28  140432  0  1872  0  0
262  208  2025-06-05 20-36-20  14534.4  2368.04  140432  0  1872  0  0
263  208  2025-06-05 20-36-20  14536  2377.91  140432  0  1872  0  0
264  208  2025-06-05 20-36-20  14537.6  2387.87  140432  0  1872  0  0
265  208  2025-06-05 20-36-20  14539.2  2397.92  140432  0  1872  0  0
266  208  2025-06-05 20-36-20  14540.8  2408.07  140432  0  1872  0  0
267  208  2025-06-05 20-36-20  14542.4  2418.31  140432  0  1872  0  0
