Step,id,x,y,Vel,Yaw
43,3,106.477,-124.765,8.5741,76.0678
43,4,259.436,122.508,10.418,110.285
43,5,259.436,-122.508,10.418,69.7145
43,6,335.419,2.1687e-15,10.418,90
43,7,535.199,0,8,90
44,1,36.4688,2.233e-15,10.5004,90
44,2,107.314,124.555,8.62626,104.139
44,3,107.314,-124.555,8.62626,75.8608
44,4,260.418,122.138,10.5004,110.623
44,5,260.418,-122.138,10.5004,69.3767
44,6,336.469,2.233e-15,10.5,90
44,7,535.999,0,8,90
45,1,37.527,2.29779e-15,10.5813,90
45,2,108.155,124.339,8.67842,104.347
45,3,108.155,-124.339,8.67842,75.6528
45,4,261.406,121.76,10.5813,110.955
45,5,261.406,-121.76,10.5813,69.0446
45,6,337.527,2.29778e-15,10.5801,90
45,7,536.799,0,8,90
46,1,38.593,2.36306e-15,10.6608,90
46,2,109,124.12,8.73058,104.556
46,3,109,-124.12,8.73058,75.4437
46,4,262.4,121.373,10.6608,111.282
46,5,262.4,-121.373,10.6608,68.7182
46,6,338.593,2.36304e-15,10.6583,90
46,7,537.599,0,8,90
47,1,39.6669,2.42882e-15,10.7389,90
47,2,109.849,123.896,8.78274,104.766
47,3,109.849,-123.896,8.78274,75.2337
47,4,263.398,120.977,10.7389,111.602
47,5,263.398,-120.977,10.7389,68.3975
47,6,339.666,2.42877e-15,10.7346,90
47,7,538.399,0,8,90
48,1,40.7485,2.49504e-15,10.8155,90
48,2,110.702,123.668,8.8349,104.977
48,3,110.702,-123.668,8.8349,75.0227
48,4,264.402,120.574,10.8155,111.917
48,5,264.402,-120.574,10.8155,68.0825
48,6,340.747,2.49495e-15,10.809,90
48,7,539.199,0,8,90
49,1,41.8376,2.56173e-15,10.8908,90
49,2,111.56,123.435,8.88706,105.189
49,3,111.56,-123.435,8.88706,74.8107
49,4,265.41,120.162,10.8908,112.227
49,5,265.41,-120.162,10.8908,67.7731
49,6,341.835,2.56158e-15,10.8816,90
49,7,539.999,0,8,90
50,1,42.934,2.62886e-15,10.9647,90
50,2,112.422,123.198,8.93922,105.402
50,3,112.422,-123.198,8.93922,74.5976
50,4,266.423,119.741,10.9647,112.531
50,5,266.423,-119.741,10.9647,67.4693
50,6,342.93,2.62864e-15,10.9524,90
50,7,540.799,0,8,90
51,1,44.0377,2.69644e-15,11.0372,90
51,2,113.288,122.956,8.99138,105.616
